fontstyle,italic,Bold
SymbolMT,0,0
VnURWPalladioL-Bold,0,1
EuclidExtra,0,0
Gulim,0,0
ArialUnicodeMS,0,0
VnURWPalladioL-Italic,1,0
NewCenturySchlbk-Roman,0,0
NewCenturySchlbk-Bold,0,1
NewCenturySchlbk-Italic,1,0
RMTMI,0,0
CMTT8,0,0
MTEX,0,0
CMTI10,0,0
CMTI7,0,0
LinBiolinumTB,0,0
LinBiolinumT,0,0
LinLibertineT,0,0
LinLibertineTB,0,0
LinLibertineTI,0,0
txsy,0,0
rtxmi,0,0
LinBiolinumTI,0,0
Inconsolata-zi4r,0,0
LinLibertineI,0,0
LinLibertine,0,0
rtxr,0,0
LinLibertineTBI,0,0
LinLibertineI7,0,0
MSAM10,0,0
LinLibertineTZ,0,0
txsya,0,0
rtxmi7,0,0
txsyc,0,0
LinLibertineI5,0,0
rtxmi5,0,0
txex-bar,0,1
txbsy,0,0
txex,0,0
EUFM10,0,0
txsyb,0,0
LinLibertineZI,0,0
LinLibertineZI7,0,0
LinLibertineZI5,0,0
rtxb,0,0
MSAM7,0,0
LinLibertineZ,0,0
rtxbmi-rev,0,0
txmia,0,0
rntxmi,0,0
stmary10,0,0
LCIRCLE10,0,0
Times-Italic,1,0
Times-BoldItalic,1,1
CMMIB10,1,0
MSBM7,0,0
Courier-Bold,0,1
Courier,0,0
ZapfDingbats,0,0
CMTT9,0,0
CenturySchoolbook,0,0
CenturySchoolbook-Bold,0,1
CenturySchoolbook-Italic,1,0
CMSY8,0,0
CMTI8,0,0
CMITT10,1,0
NewCenturySchlbk-BoldItalic,1,1
LucidaSansUnicode22,0,0
Wingdings,0,0
rntxmi5,0,0
RMTMIB,0,0
TimesNewRomanPS-Bold,0,1
TimesNewRomanPS-Italic,1,0
TimesNewRomanPS,0,0
MTSYB,0,0
Helvetica-Oblique,0,0
Helvetica-BoldOblique,0,1
VAGRoundedStd-Bold,0,1
Cambria-Bold,0,1
Caecilia-LightSC,0,0
Univers,0,0
Caecilia-Roman,0,0
Caecilia-Heavy,0,0
GulliverRM,0,0
OneGulliverA,0,0
OnemtmiguAAAA,0,0
GulliverIT,1,0
GulliverSCOsF,0,0
GulliverBL,0,0
MATHG-1A,0,0
AdvP4DF60E,0,0
AdvUnivers,0,0
AdvMacMthRm,0,0
AdvTA42,0,0
AdvP4DF60F,0,0
AdvGulliver-SCO,0,0
AdvPi1,0,0
AdvMacMthSyN,0,0
AdvEls-ent4,0,0
AdvP4DF614,0,0
AdvEls-ent3,0,0
AdvPi2,0,0
AdvEls-ent5,0,0
AdvGulliver,0,0
AdvEls-ent8,0,0
AdvEls-ent2,0,0
AdvMacAccR,0,0
AdvOT863180fb,0,0
fb,0,0
AdvOTb92eb7df.I,1,0
AdvOTc4d0b532,0,0
AdvGulliverMath-I,1,0
AdvOTb83ee1dd.B,0,1
26,0,0
AdvGreek_B,0,0
AdvGulliv-R,0,0
AdvPSUnv,0,0
AdvGulliv-I,1,0
AdvCORRESAST,0,0
AdvGulliv-F,0,0
AdvGulliv-B,0,1
AdvPSMP4,0,0
Arial Bold,0,1
AdvMacAccI,0,0
AdvEls-Ent1,0,0
RBLMI,0,0
BLEX,0,0
OneGulliver-ItalicA,1,0
AdvArial,0,0
AdvCAECI-H,0,0
AdvCAECI-HI,0,0
AdvCAECI-BI,0,1
AdvCAECI-B,0,1
AdvCAECI-R,0,0
AdvCAECI-I,1,0
AdvCAECI-SC,0,0
AdvNEWPSTim,0,0
AdvOTf9433e2d,0,0
AdvOT404f8e91.BI,0,1
NimbusRomNo9L-Regu,0,0
NimbusRomNo9L-ReguItal,1,0
NimbusRomNo9L-Medi,0,0
rtxsc,0,0
TrebuchetMS,0,0
TrebuchetMS-Bold,0,1
TrebuchetMS-Italic,1,0
BSSymbol-Medium,0,0
UniversLTStd,0,0
GulliverBI,0,0
MarVoSym,0,0
CharisSIL,0,0
AdvOT596495f2,0,0
AdvOT0de51fd2,0,0
AdvOT7fb33346.I,1,0
AdvOT1efcda3b.B,0,1
CharisSIL-Italic,1,0
STIXTwoText,0,0
STIXTwoMath,0,0
AdvPAC3D,0,0
AdvOTf2586c63.I,1,0
AdvTT3f84ef53,0,0
AdvOT18499c10.B,0,1
AdvP7DA6,0,0
AdvTT7b515deb,0,0
STIXTwoText-Italic,1,0
25,0,0
23,0,0
AdvPS.MH6,0,0
Tahomanew,0,0
TrajanPro-Regular,0,0
AdvOT8608a8d1,0,0
Gulliver,0,0
STIXGeneral-Regular,0,0
Gulliver-Italic,1,0
STIXSizeOneSym-Regular,0,0
Gulliver-Bold,0,1
CMSY7,0,0
GillSansMT-Bold,0,1
GillSansMT-BoldItalic,1,1
SwiftNeueLTPro-Book,0,1
SwiftNeueLTPro-BookItalic,1,1
SwiftNeueLTPro-Regular,0,0
ChaparralPro-Bold,0,1
GillSansMTPro-Bold,0,1
SwiftNeueLTPro-BoldItalic,1,1
GaramondPremrPro-Capt,0,0
GillSansMT,0,0
AdvMacMthIt,1,0
Msam10,0,0
MathematicalPi-Six,0,0
AdvMacT_R,0,0
FormataOTF-Reg,0,0
GiovanniStd-BookItalic,1,1
FormataOTFCond-Md,0,0
FormataOTFMd,0,0
TimesLTStd-Roman,0,0
FormataOTF-Bold,0,1
FormataOTF-Italic,1,0
TimesLTStd-Italic,1,0
FormataOTFMdIt,1,0
MT2HRBT,0,0
TimesLTStd-Bold,0,1
EUFM7,0,0
CMBSY7,0,0
NimbusRomNo9L-MediItal,1,0
CMR7,0,0
CMMI7,1,0
CMR8,0,0
CMMI8,1,0
CMMI6,1,0
CMR6,0,0
CMSY6,0,0
CMR9,0,0
CMMI9,1,0
TimesNewRomanPSMT-00,0,0
TimesNewRomanPS-BoldMT-00,0,1
TimesLTStd-BoldItalic,1,1
NimbusMonL-Regu,0,0
Helvetica-Narrow-Oblique,0,0
CMR5,0,0
rsfs10,0,0
rsfs5,0,0
FrutigerLTStd-Cn,0,0
HelveticaLTStd-Roman,0,0
FolioStd-BoldCondensed,0,1
ITCGaramondStd-Bk,1,1
ITCGaramondStd-BkCondIta,1,1
FrutigerLTStd-Light,0,0
Wingdings2,0,0
FrutigerLTStd-ExtraBlackCn,0,0
ITCGaramondStd-BkIta,1,1
FrutigerLTStd-BlackCn,0,1
ITCGaramondStd-BdIta,1,1
MMGreek,0,0
MMEtc,0,0
FrutigerLTStd-CondensedItalic,1,0
MMTimesRoman,0,0
MMGreekItalic,1,0
SymbolObliquePlain,0,0
MMRelation,0,0
FrutigerLTStd-Roman,0,0
FrutigerLTStd-Italic,1,0
MMVariable,0,0
MMNegate,0,0
MMVariableB,0,0
MMaPascal-Regular,0,0
MMBinary,0,0
MMArrow,0,0
ZapfDingbatsStd,0,0
MMExtra,0,0
FrutigerLTStd-BoldItalic,1,1
MMVariableA,0,0
MTEXB,0,0
Formata-Regular,0,0
Formata-Medium,0,0
Formata-Bold,0,1
Formata-Italic,1,0
MTGU,0,0
FormataOTFCond-MdIt,1,0
EUSM10,0,0
EUSM7,0,0
