fontstyle,italic,Bold
22,0,0
4,0,0
XprxwxAdvTT86d47313,0,0
3,0,0
JhvccjAdvTT1b53b5fb.I,1,0
SwsrvwAdvTT8861b38f.I,1,0
XjnxwwAdvP4C4E74,0,0
RqmndtAdvP4C4E51,0,0
1,0,0
MnjwksArialMT,0,0
MpscynArial-BoldMT,0,1
RqsfcgArial-ItalicMT,1,0
NswnfcAdvPTimes,0,0
NhpcyvAdvPTimesB,0,1
JqrnfjAdvNPSTim-B,0,1
HkngkbAdvPSSym,0,0
YwxgfhAdvP4C4E74,0,0
JbjvcgAdvPSSPS-AS,0,0
XchjsnAdvPSMP13,0,0
WvjywcAdvTir_symb,0,0
VpqbglAdvSPRING-R,0,0
HymvjrAdvPTimesI,1,0
HdmxspAdvP4C4E51,0,0
BqwvnfAdvPSMP10,0,0
BhrlsvAdvPSMP4,0,0
XdfhxfAdvP4C4E46,0,0
XdtrmhAdvPTimes,0,0
NwkklrAdvPTimesB,0,1
QwykknAdvNPSTim-B,0,1
QdkjkpAdvPSSym,0,0
JktwcfAdvPSSPS-AS,0,0
JxtrtqAdvP4C4E74,0,0
BxbqdyAdvSPRING-R,0,0
QyxkqyAdvPTimesI,1,0
HjprcrAdvPSMP10,0,0
LdcxmsAdvTir_symb,0,0
YcqysnMyriadPro-Regular,0,0
KwhmytMyriadPro-It,1,0
TbjxfkMyriadPro-Bold,0,1
WmcjvbMyriadPro-Light,0,0
XdmvxnMyriadPro-Semibold,0,1
KnyrwrWarnockPro-Regular,0,0
HkntxmHelvetica-Bold,0,1
HphgtpHelvetica,0,0
RcpbvxWarnockPro-It,1,0
RvvrnhMyriadPro-LightIt,1,0
TwrkdkHelvetica-Bold,0,1
PysjxjMyriadPro-SemiboldIt,1,1
WklkgwMTSY,0,0
PdfykgAdvTTe45e47d2,0,0
LxctqhAdvTT7329fd89.I,1,0
DxfjrdAdvTTaf7f9f4f.B,0,1
GfqjfpAdvTTb5929f4c,0,0
LwnsvnAdvTT99c4c969,0,0
SxtmggAdvTT1b53b5fb.I,1,0
JlgpjyAdvTT86d47313,0,0
KxpdgvAdvTT8861b38f.I,1,0
YjckmjAdvTT83913201.I,1,0
3,0,0
QpdkkkAdvTT4fa15320.B,0,1
27,0,0
WmcnsbAdvTTe45e47d2,0,0
NmskypAdvTT7329fd89.I,1,0
LyncrfAdvTTaf7f9f4f.B,0,1
XvmfshAdvTTb5929f4c,0,0
SkdrrrAdvTT99c4c969,0,0
PqssvcAdvTT86d47313,0,0
TdqnlhAdvTT8861b38f.I,1,0
HshglkHelvetica-Bold,0,1
SdskmnHelvetica,0,0
LctyhhAdvTT1b53b5fb.I,1,0
